state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2024,19,burglary,standard,130,2024,7262907,1.7899169024193755
AZ,2024,19,motor_vehicle_theft,DST,354,2024,7262907,4.87408141120353
AZ,2024,19,motor_vehicle_theft,standard,166,2024,7262907,2.2855861984739723
AZ,2024,20,burglary,DST,230,2024,7262907,3.1667760581265876
AZ,2024,20,burglary,standard,112,2024,7262907,1.5420822543920774
AZ,2024,20,motor_vehicle_theft,DST,382,2024,7262907,5.259601974801551
AZ,2024,20,motor_vehicle_theft,standard,194,2024,7262907,2.6711067620719913
AZ,2024,21,burglary,DST,180,2024,7262907,2.4783464802729815
AZ,2024,21,burglary,standard,87,2024,7262907,1.1978674654652743
AZ,2024,21,motor_vehicle_theft,DST,427,2024,7262907,5.879188594869795
AZ,2024,21,motor_vehicle_theft,standard,209,2024,7262907,2.877635635428073
AZ,2024,22,burglary,DST,176,2024,7262907,2.423272114044693
AZ,2024,22,burglary,standard,74,2024,7262907,1.0188757752233368
AZ,2024,22,motor_vehicle_theft,DST,378,2024,7262907,5.204527608573261
AZ,2024,22,motor_vehicle_theft,standard,192,2024,7262907,2.643569578957847
AZ,2024,23,burglary,DST,160,2024,7262907,2.2029746491315394
AZ,2024,23,burglary,standard,93,2024,7262907,1.2804790148077072
AZ,2024,23,motor_vehicle_theft,DST,297,2024,7262907,4.08927169245042
AZ,2024,23,motor_vehicle_theft,standard,134,2024,7262907,1.844991268647664
CA,2022,1,burglary,DST,1332,2022,39142414,3.4029582334906583
CA,2022,1,burglary,standard,630,2022,39142414,1.6095072725969328
CA,2022,1,motor_vehicle_theft,DST,1079,2022,39142414,2.7566005510033182
CA,2022,1,motor_vehicle_theft,standard,556,2022,39142414,1.4204540374030072
CA,2022,2,burglary,DST,1555,2022,39142414,3.972672712521001
CA,2022,2,burglary,standard,768,2022,39142414,1.9620660084991182
CA,2022,2,motor_vehicle_theft,DST,967,2022,39142414,2.4704659247638636
CA,2022,2,motor_vehicle_theft,standard,499,2022,39142414,1.2748319508347135
CA,2022,3,burglary,DST,1721,2022,39142414,4.396765104983049
CA,2022,3,burglary,standard,851,2022,39142414,2.1741122047301427
CA,2022,3,motor_vehicle_theft,DST,1000,2022,39142414,2.5547734485665603
CA,2022,3,motor_vehicle_theft,standard,471,2022,39142414,1.2032982942748498
CA,2022,4,burglary,DST,1685,2022,39142414,4.3047932608346535
CA,2022,4,burglary,standard,806,2022,39142414,2.0591473995446474
CA,2022,4,motor_vehicle_theft,DST,1074,2022,39142414,2.7438266837604854
CA,2022,4,motor_vehicle_theft,standard,451,2022,39142414,1.1522028253035186
CA,2022,5,burglary,DST,1378,2022,39142414,3.5204778121247196
CA,2022,5,burglary,standard,724,2022,39142414,1.8496559767621894
CA,2022,5,motor_vehicle_theft,DST,1220,2022,39142414,3.116823607251203
CA,2022,5,motor_vehicle_theft,standard,543,2022,39142414,1.387241982571642
CA,2022,6,burglary,DST,1131,2022,39142414,2.8894487703287792
CA,2022,6,burglary,standard,576,2022,39142414,1.4715495063743387
CA,2022,6,motor_vehicle_theft,DST,1403,2022,39142414,3.584347148338884
CA,2022,6,motor_vehicle_theft,standard,708,2022,39142414,1.8087796015851245
CA,2022,7,burglary,DST,1077,2022,39142414,2.751491004106185
CA,2022,7,burglary,standard,547,2022,39142414,1.3974610763659083
CA,2022,7,motor_vehicle_theft,DST,1545,2022,39142414,3.947124978035335
CA,2022,7,motor_vehicle_theft,standard,769,2022,39142414,1.9646207819476846
CA,2022,8,burglary,DST,1316,2022,39142414,3.3620818583135925
CA,2022,8,burglary,standard,740,2022,39142414,1.8905323519392545
CA,2022,8,motor_vehicle_theft,DST,1919,2022,39142414,4.902610247799228
CA,2022,8,motor_vehicle_theft,standard,1023,2022,39142414,2.613533237883591
CA,2022,9,burglary,DST,1227,2022,39142414,3.1347070213911694
CA,2022,9,burglary,standard,593,2022,39142414,1.51498065499997
CA,2022,9,motor_vehicle_theft,DST,1658,2022,39142414,4.235814377723356
CA,2022,9,motor_vehicle_theft,standard,850,2022,39142414,2.171557431281576
CA,2022,10,burglary,DST,1233,2022,39142414,3.1500356620825682
CA,2022,10,burglary,standard,654,2022,39142414,1.6708218353625301
CA,2022,10,motor_vehicle_theft,DST,1746,2022,39142414,4.460634441197214
CA,2022,10,motor_vehicle_theft,standard,830,2022,39142414,2.120461962310245
CA,2022,11,burglary,DST,1112,2022,39142414,2.8409080748060145
CA,2022,11,burglary,standard,607,2022,39142414,1.5507474832799018
CA,2022,11,motor_vehicle_theft,DST,1521,2022,39142414,3.885810415269738
CA,2022,11,motor_vehicle_theft,standard,800,2022,39142414,2.043818758853248
CA,2022,12,burglary,DST,1589,2022,39142414,4.059535009772263
CA,2022,12,burglary,standard,810,2022,39142414,2.0693664933389133
CA,2022,12,motor_vehicle_theft,DST,2082,2022,39142414,5.319038319915578
CA,2022,12,motor_vehicle_theft,standard,1047,2022,39142414,2.6748478006491885
CA,2022,13,burglary,DST,1053,2022,39142414,2.6901764413405878
CA,2022,13,burglary,standard,572,2022,39142414,1.4613304125800723
CA,2022,13,motor_vehicle_theft,DST,1519,2022,39142414,3.880700868372605
CA,2022,13,motor_vehicle_theft,standard,761,2022,39142414,1.9441825943591522
CA,2022,14,burglary,DST,1143,2022,39142414,2.920106051711578
CA,2022,14,burglary,standard,649,2022,39142414,1.6580479681196976
CA,2022,14,motor_vehicle_theft,DST,1673,2022,39142414,4.274135979451855
CA,2022,14,motor_vehicle_theft,standard,887,2022,39142414,2.2660840488785388
CA,2022,15,burglary,DST,1389,2022,39142414,3.5485803200589516
CA,2022,15,burglary,standard,755,2022,39142414,1.9288539536677527
CA,2022,15,motor_vehicle_theft,DST,1814,2022,39142414,4.63435903569974
CA,2022,15,motor_vehicle_theft,standard,940,2022,39142414,2.401487041652566
CA,2022,16,burglary,DST,1478,2022,39142414,3.7759551569813756
CA,2022,16,burglary,standard,833,2022,39142414,2.1281262826559444
CA,2022,16,motor_vehicle_theft,DST,2077,2022,39142414,5.306264452672745
CA,2022,16,motor_vehicle_theft,standard,1094,2022,39142414,2.7949221527318167
CA,2022,17,burglary,DST,1901,2022,39142414,4.856624325725031
CA,2022,17,burglary,standard,1058,2022,39142414,2.7029503085834206
CA,2022,17,motor_vehicle_theft,DST,2383,2022,39142414,6.088025127934112
