state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
CA,2023,06049,Modoc County,56648,0.20276334435521964,0.05635422656699252,0.23004038521279901
CA,2023,06051,Mono County,86953,0.11037071078431372,0.019979376127868008,0.34321243523316064
CA,2023,06053,Monterey County,94486,0.12581479466697207,0.04882969745763534,0.27883727092389554
CA,2023,06055,Napa County,108970,0.08428584285842858,0.04834450268728021,0.3851712542289727
CA,2023,06057,Nevada County,84905,0.1059142434696895,0.044611352990941544,0.3946003256465599
CA,2023,06059,Orange County,113702,0.09485842405883985,0.05073514500101399,0.43401037672660125
CA,2023,06061,Placer County,114678,0.06705059545643509,0.042988036348374746,0.42890643989578947
CA,2023,06063,Plumas County,64946,0.10730168579997931,0.08861488822309288,0.20462914255654918
CA,2023,06065,Riverside County,89672,0.11061186961841588,0.061762355408582166,0.250840176879343
CA,2023,06067,Sacramento County,88724,0.12615334884015095,0.06053118048720906,0.3328378226721884
CA,2023,06069,San Benito County,108289,0.07794699969540055,0.056223791657470754,0.22386651323360185
CA,2023,06071,San Bernardino County,82184,0.1357370441422949,0.06664931781181115,0.22901440338137302
CA,2023,06073,San Diego County,102285,0.1035269729034036,0.05865637603508699,0.4208987125049854
CA,2023,06075,San Francisco County,141446,0.10582881322583858,0.05324578179178504,0.6012076421243264
CA,2023,06077,San Joaquin County,88531,0.1255537920445388,0.06861306203478909,0.21572958036625103
CA,2023,06079,San Luis Obispo County,93398,0.12846981198265373,0.048098380241556174,0.39201400387945307
CA,2023,06081,San Mateo County,156000,0.06491334958028704,0.04280964159854131,0.5307123407216751
CA,2023,06083,Santa Barbara County,95977,0.13772857655073503,0.057936036701793654,0.35869939954606833
CA,2023,06085,Santa Clara County,159674,0.06864609510211955,0.0427113487828071,0.5586562705035025
CA,2023,06087,Santa Cruz County,109266,0.11217792902284882,0.0531460274652659,0.43557964683032163
CA,2023,06089,Shasta County,71931,0.12975765955898405,0.05874246339362618,0.23266685790040856
CA,2023,06091,Sierra County,60000,0.12343334599316369,0.10864745011086474,0.24404761904761904
CA,2023,06093,Siskiyou County,55499,0.16573389529929294,0.07128226136829169,0.23083615573439392
CA,2023,06095,Solano County,99994,0.09692347788643497,0.055364542382966064,0.28367041437079976
CA,2023,06097,Sonoma County,102840,0.08571028819990435,0.049357394269473207,0.378469385158651
CA,2023,06099,Stanislaus County,79661,0.13148439213392793,0.07206985742074774,0.19136945701036628
CA,2023,06101,Sutter County,75450,0.14773213739679952,0.06564803756023228,0.20207452350309493
